level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1111	568	-1	
2	1	1	0	0	0	44	64	903	341	-1	
3	1	1	1	0	0	44	64	903	341	-1	
4	1	1	1	1	0	44	64	692	40	-1	
5	1	1	1	1	1	44	66	67	30	92	def
5	1	1	1	1	2	137	64	295	40	83	max_num(num1,
5	1	1	1	1	3	466	67	107	36	91	num2,
5	1	1	1	1	4	607	64	108	40	45	num3)
5	1	1	1	1	5	729	74	7	22	45	:
4	1	1	1	2	0	52	107	848	52	-1	
5	1	1	1	2	1	52	121	12	18	76	*
5	1	1	1	2	2	139	117	42	31	85	if
5	1	1	1	2	3	209	119	88	29	88	num1
5	1	1	1	2	4	325	107	160	52	93	==|num2
5	1	1	1	2	5	513	118	65	30	92	and
5	1	1	1	2	6	607	119	88	29	76	num1
5	1	1	1	2	7	726	124	40	23	90	>=
5	1	1	1	2	8	794	119	106	29	88	num3:
4	1	1	1	3	0	233	170	252	29	-1	
5	1	1	1	3	1	233	171	134	28	90	return
5	1	1	1	3	2	396	170	89	29	56	num1l
4	1	1	1	4	0	138	220	809	31	-1	
5	1	1	1	4	1	138	220	90	31	92	elif
5	1	1	1	4	2	256	222	88	29	92	num2
5	1	1	1	4	3	375	227	40	23	83	>=
5	1	1	1	4	4	443	222	88	29	46	num1l
5	1	1	1	4	5	560	221	65	30	92	and
5	1	1	1	4	6	654	222	89	29	90	num2
5	1	1	1	4	7	773	227	40	23	91	>=
5	1	1	1	4	8	841	222	106	29	90	num3:
4	1	1	1	5	0	233	274	252	28	-1	
5	1	1	1	5	1	233	274	134	28	91	return
5	1	1	1	5	2	396	274	89	28	90	num2
4	1	1	1	6	0	138	324	107	30	-1	
5	1	1	1	6	1	138	324	107	30	95	else:
4	1	1	1	7	0	233	377	251	28	-1	
5	1	1	1	7	1	233	377	134	28	90	return
5	1	1	1	7	2	396	377	88	28	90	num3
2	1	2	0	0	0	809	372	209	196	-1	
3	1	2	1	0	0	809	372	209	196	-1	
4	1	2	1	1	0	809	372	209	196	-1	
5	1	2	1	1	1	809	372	209	196	95	 
2	1	3	0	0	0	45	528	600	40	-1	
3	1	3	1	0	0	45	528	600	40	-1	
4	1	3	1	1	0	45	528	600	40	-1	
5	1	3	1	1	1	45	528	206	40	89	print(max
5	1	3	1	1	2	253	528	202	40	89	num(300,
5	1	3	1	1	3	487	532	62	35	91	40,
5	1	3	1	1	4	584	528	61	40	60	5))
